"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor(Percent)","2017 Capacity Factor(Percent)","2016 Capacity Factor(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,Years of Operation through 12/31/2019,
"Limerick Generating Station, Unit 1",Limerick 1,05000352,NPF-39,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,19/06/1974,08/08/1985,01/02/1986,20/10/2014,26/10/2044,3515,,92%,100%,93%,100%,91%,101%,85%,96%,91%,101%,95%,,99%,95%,101%,,34,
"Limerick Generating Station, Unit 2",Limerick 2,05000353,NPF-85,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,19/06/1974,25/08/1989,08/01/1990,20/10/2014,22/06/2049,3515,,99%,86%,101%,89%,99%,94%,95%,90%,99%,94%,101%,,91%,99%,94%,,30,
"McGuire Nuclear Station, Unit 1",McGuire 1,05000369,NPF-9,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,23/02/1973,27/05/1981,01/12/1981,05/12/2003,03/03/2041,3411,,100%,90%,89%,95%,82%,82%,105%,94%,92%,104%,87%,,93%,85%,103%,,38,
"McGuire Nuclear Station, Unit 2",McGuire 2,05000370,NPF-17,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,23/02/1973,27/05/1983,01/03/1984,05/12/2003,03/03/2043,3411,,92%,86%,97%,87%,94%,95%,82%,91%,104%,94%,90%,,89%,103%,94%,,36,
"Millstone Power Station, Unit 2",Millstone 2,05000336,DPR-65,"Waterford, CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYAMB,CE,BECH,BECH,11/12/1970,26/09/1975,26/12/1975,28/11/2005,31/07/2035,2700,,82%,85%,93%,85%,85%,95%,83%,87%,97%,81%,86%,,88%,98%,80%,,44,
"Millstone Power Station, Unit 3",Millstone 3,05000423,NPF-49,"Waterford, CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 4LP,S&W,S&W,09/08/1974,31/01/1986,23/04/1986,28/11/2005,25/11/2045,3650,,100%,89%,83%,97%,87%,87%,100%,87%,86%,105%,88%,,86%,88%,101%,,33,
"Monticello Nuclear Generating Plant, Unit 1",Monticello,05000263,DPR-22,"Monticello, MN (30 MI NW of Minneapolis,  MN)",3,Northern States Power Company - Minnesota,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,BWR-MARK 1,GE 3,BECH,BECH,19/06/1967,08/09/1970,30/06/1971,08/11/2006,08/09/2030,2004,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",99%,86%,93%,78%,78%,50%,101%,69%,94%,83%,97%,,89%,101%,92%,,49,
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,05000220,DPR-63,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC - Owner
Exelon Generation Company, LLC - Operator","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 2,NIAG,S&W,12/04/1965,26/12/1974,01/12/1969,31/10/2006,22/08/2029,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",99%,87%,96%,88%,98%,88%,87%,84%,97%,92%,98%,,85%,92%,80%,,45,
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,05000410,NPF-69,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC - Owner
Exelon Generation Company, LLC - Operator","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&W,S&W,24/06/1974,02/07/1987,11/03/1988,31/10/2006,31/10/2046,3988,,90%,101%,92%,100%,87%,99%,83%,95%,89%,99%,90%,,100%,86%,96%,,32,
"North Anna Power Station, Unit 1",North Anna 1,05000338,NPF-4,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,19/02/1971,01/04/1978,06/06/1978,20/03/2003,01/04/2038,2940,,90%,99%,89%,91%,100%,89%,89%,78%,86%,92%,101%,,95%,91%,81%,,41,
"North Anna Power Station, Unit 2",North Anna 2,05000339,NPF-7,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,19/02/1971,21/08/1980,14/12/1980,20/03/2003,21/08/2040,2940,,99%,89%,87%,99%,92%,85%,99%,76%,100%,100%,82%,,87%,92%,90%,,39,
"Oconee Nuclear Station, Unit 1",Oconee 1,05000269,DPR-38,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,06/11/1967,06/02/1973,15/07/1973,23/05/2000,06/02/2033,2568,,90%,95%,83%,96%,91%,91%,90%,79%,100%,85%,84%,,91%,98%,71%,,46,
"Oconee Nuclear Station, Unit 2",Oconee 2,05000270,DPR-47,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,06/11/1967,06/10/1973,09/09/1974,23/05/2000,06/10/2033,2568,,100%,88%,98%,89%,101%,82%,102%,93%,91%,103%,86%,,90%,76%,102%,,46,
"Oconee Nuclear Station, Unit 3",Oconee 3,05000287,DPR-55,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,06/11/1967,19/07/1974,16/12/1974,23/05/2000,19/07/2034,2568,,92%,97%,91%,97%,92%,97%,86%,103%,91%,94%,102%,,98%,77%,85%,,45,
Palisades Nuclear Plant,Palisades,05000255,DPR-20,"Covert, MI (5 MI S of South Haven,  MI)",3,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,14/03/1967,24/03/1971,31/12/1971,17/01/2007,24/03/2031,2565.4,"AEC issued a provisional OL on 03/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",77%,86%,99%,89%,86%,85%,74%,96%,92%,90%,99%,,79%,92%,95%,,48,
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,05000528,NPF-41,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,25/05/1976,01/06/1985,28/01/1986,21/04/2011,01/06/2045,3990,,97%,85%,83%,94%,90%,85%,100%,83%,81%,101%,86%,,63%,85%,97%,,34,
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,NPF-51,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,25/05/1976,24/04/1986,19/09/1986,21/04/2011,24/04/2046,3990,,82%,86%,95%,85%,90%,91%,90%,91%,101%,83%,74%,,82%,92%,72%,,33,
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,05000530,NPF-74,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,25/05/1976,25/11/1987,08/01/1988,21/04/2011,25/11/2047,3990,,90%,92%,85%,85%,101%,79%,88%,97%,89%,83%,97%,,84%,75%,88%,,32,
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,05000277,DPR-44,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,31/01/1968,25/10/1973,05/07/1974,07/05/2003,08/08/2033,4016,,94%,92%,96%,99%,88%,100%,88%,101%,92%,102%,89%,,98%,91%,95%,,46,
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,05000278,DPR-56,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,31/01/1968,02/07/1974,23/12/1974,07/05/2003,02/07/2034,4016,,94%,86%,95%,75%,103%,85%,103%,90%,100%,89%,99%,,91%,102%,91%,,45,
"Perry Nuclear Power Plant, Unit 1",Perry 1,05000440,NPF-58,"Perry, OH (35 MI NE of Cleveland,  OH)",3,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,BWR-MARK 3,GE 6,GIL,KAIS,03/05/1977,13/11/1986,18/11/1987,N/A,18/03/2026,3758,,99%,85%,91%,83%,96%,73%,92%,79%,98%,67%,98%,,71%,94%,79%,,33,
"Point Beach Nuclear Plant, Unit 1",Point Beach 1,05000266,DPR-24,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,19/07/1967,05/10/1970,21/12/1970,22/12/2005,05/10/2030,1800,,99%,86%,86%,92%,90%,84%,100%,79%,88%,98%,87%,,81%,81%,97%,,49,
"Point Beach Nuclear Plant, Unit 2",Point Beach 2,05000301,DPR-27,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,25/07/1968,08/03/1973,01/10/1972,22/12/2005,08/03/2033,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,94%,85%,94%,86%,90%,93%,89%,67%,96%,84%,89%,,72%,97%,83%,,46,
"Prairie Island Nuclear Generating Plant, Unit 1",Prairie Island 1,05000282,DPR-42,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,25/06/1968,05/04/1974,16/12/1973,27/06/2011,09/08/2033,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,89%,88%,81%,77%,84%,90%,81%,91%,96%,97%,84%,,99%,79%,101%,,45,
"Prairie Island Nuclear Generating Plant, Unit 2",Prairie Island 2,05000306,DPR-60,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,25/06/1968,29/10/1974,21/12/1974,27/06/2011,29/10/2034,1677,,100%,80%,78%,65%,101%,59%,74%,99%,86%,75%,85%,,84%,102%,93%,,45,
"Quad Cities Nuclear Power Station, Unit 1",Quad Cities 1,05000254,DPR-29,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,15/02/1967,14/12/1972,18/02/1973,28/10/2004,14/12/2032,2957,,99%,85%,92%,83%,103%,85%,102%,92%,99%,82%,96%,,83%,85%,90%,,47,
"Quad Cities Nuclear Power Station, Unit 2",Quad Cities 2,05000265,DPR-30,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,15/02/1967,14/12/1972,10/03/1973,28/10/2004,14/12/2032,2957,,92%,89%,85%,95%,90%,91%,92%,104%,92%,91%,86%,,93%,81%,92%,,47,
R.E. Ginna Nuclear Power Plant,Ginna,05000244,DPR-18,"Ontario, NY (20 MI NE of Rochester,  NY)",1,"R.E. Ginna Nuclear Power Plant, LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 2LP,GIL,BECH,25/04/1966,19/09/1969,01/07/1970,19/05/2004,18/09/2029,1775,,93%,87%,94%,89%,91%,93%,90%,84%,97%,91%,109%,,92%,99%,89%,,50,
"River Bend Station, Unit 1",River Bend 1,05000458,NPF-47,"St. Francisville, LA (24 MI NNW of Baton Rouge,  LA)",4,"Entergy Operations, Inc.","Entergy Corporation, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,S&W,S&W,25/03/1977,20/11/1985,16/06/1986,20/12/2018,29/08/2045,3091,,82%,77%,78%,76%,96%,84%,91%,90%,98%,113%,82%,,93%,87%,89%,,34,
"St. Lucie Plant, Unit 1",Saint Lucie 1,05000335,DPR-67,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,CE,EBSO,EBSO,01/07/1970,01/03/1976,21/12/1976,02/10/2003,01/03/2036,3020,,91%,90%,73%,83%,101%,74%,72%,85%,72%,100%,91%,,83%,86%,102%,,43,
"St. Lucie Plant, Unit 2",Saint Lucie 2,05000389,NPF-16,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,CE,EBSO,EBSO,02/05/1977,06/04/1983,08/08/1983,02/10/2003,06/04/2043,3020,,87%,84%,92%,77%,82%,91%,68%,66%,100%,80%,99%,,86%,92%,80%,,36,
"Salem Nuclear Generating Station, Unit 1",Salem 1,05000272,DPR-70,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,25/09/1968,01/12/1976,30/06/1977,30/06/2011,13/08/2036,3459,,100%,90%,68%,95%,86%,88%,97%,86%,85%,99%,91%,,92%,72%,94%,,43,
"Salem Nuclear Generating Station, Unit 2",Salem 2,05000311,DPR-75,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,25/09/1968,20/05/1981,13/10/1981,30/06/2011,18/04/2040,3459,,87%,85%,85%,85%,73%,100%,88%,89%,98%,93%,83%,,90%,88%,82%,,38,
"Seabrook Station, Unit 1",Seabrook 1,05000443,NPF-86,"Seabrook, NH (13 MI S of Portsmouth,  NH)",1,"NextEra Energy Seabrook, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 4LP,UE&C,UE&C,07/07/1976,15/03/1990,19/08/1990,12/03/2019,15/03/2050,3648,,92%,92%,99%,87%,93%,100%,75%,77%,100%,81%,89%,,89%,100%,91%,,29,
"Sequoyah Nuclear Plant, Unit 1",Sequoyah 1,05000327,DPR-77,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,27/05/1970,17/09/1980,01/07/1981,24/09/2015,17/09/2040,3455,,89%,88%,71%,87%,100%,83%,89%,98%,84%,89%,101%,,100%,92%,73%,,39,
"Sequoyah Nuclear Plant, Unit 2",Sequoyah 2,05000328,DPR-79,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,27/05/1970,15/09/1981,01/06/1982,25/09/2015,15/09/2041,3455,,88%,83%,90%,73%,90%,90%,77%,89%,97%,89%,89%,,90%,96%,84%,,38,
"Shearon Harris Nuclear Power Plant, Unit 1",Shearon Harris 1,05000400,NPF-63,"New Hill, NC (20 MI SW of Raleigh,  NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,DANI,27/01/1978,24/10/1986,02/05/1987,17/12/2008,24/10/2046,2948,,89%,99%,90%,87%,99%,83%,90%,103%,90%,94%,99%,,101%,89%,92%,,33,
"South Texas Project, Unit 1",South Texas 1,05000498,NPF-76,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,,PWR-DRYAMB,WEST 4LP,BECH,EBSO,22/12/1975,22/03/1988,25/08/1988,28/09/2017,20/08/2047,3853,,89%,85%,95%,78%,81%,91%,93%,94%,101%,90%,95%,,88%,99%,61%,,31,
"South Texas Project, Unit 2",South Texas 2,05000499,NPF-80,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,,PWR-DRYAMB,WEST 4LP,BECH,EBSO,22/12/1975,28/03/1989,19/06/1989,28/09/2017,15/12/2048,3853,,90%,97%,88%,85%,103%,59%,72%,88%,88%,101%,95%,,89%,92%,79%,,30,
"Surry Power Station, Unit 1",Surry 1,05000280,DPR-32,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,25/06/1968,25/05/1972,22/12/1972,20/03/2003,25/05/2032,2587,,87%,101%,96%,76%,99%,91%,92%,101%,89%,94%,98%,,96%,92%,76%,,47,
"Surry Power Station, Unit 2",Surry 2,05000281,DPR-37,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,25/06/1968,29/01/1973,01/05/1973,20/03/2003,29/01/2033,2587,,88%,93%,101%,82%,95%,101%,91%,76%,100%,92%,94%,,93%,101%,79%,,46,
"Susquehanna Steam Electric Station, Unit 1",Susquehanna 1,05000387,NPF-14,"Salem Township, Luzerne Co., PA (70 MI NE of Harrisburg, PA)",1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,www.talenenergy.com,,BWR-MARK 2,GE 4,BECH,BECH,03/11/1973,17/07/1982,08/06/1983,24/11/2009,17/07/2042,3952,,86%,97%,77%,76%,83%,87%,70%,86%,80%,101%,89%,,95%,80%,96%,,37,
"Susquehanna Steam Electric Station, Unit 2",Susquehanna 2,05000388,NPF-22,"Salem Township, Luzerne Co., PA (70 MI NE of Harrisburg, PA)",1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,www.talenenergy.com,,BWR-MARK 2,GE 4,BECH,BECH,03/11/1973,23/03/1984,12/02/1985,24/11/2009,23/03/2044,3952,,99%,86%,93%,82%,88%,80%,83%,72%,96%,90%,100%,,89%,100%,86%,,35,
"Three Mile Island Nuclear Station, Unit 1",Three Mile Island 1,05000289,DPR-50,"Middletown, PA (10 MI SE of Harrisburg,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,B&W LLP,GIL,UE&C,18/05/1968,19/04/1974,02/09/1974,22/10/2009,19/04/2034,2568,,100%,80%,82%,77%,104%,78%,100%,92%,94%,86%,107%,,98%,102%,90%,,45,
Turkey Point Nuclear Generating Unit No. 3,Turkey Point 3,05000250,DPR-31,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 3LP,BECH,BECH,27/04/1967,19/07/1972,14/12/1972,06/06/2002,19/07/2032,2644,,89%,80%,93%,78%,84%,81%,40%,96%,88%,86%,101%,,96%,78%,90%,,47,
Turkey Point Nuclear Generating Unit No. 4,Turkey Point 4,05000251,DPR-41,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 3LP,BECH,BECH,27/04/1967,10/04/1973,07/09/1973,06/06/2002,10/04/2033,2644,,100%,98%,99%,106%,88%,70%,85%,84%,98%,99%,89%,,89%,70%,,,46,
"Virgil C. Summer Nuclear Station, Unit 1",Summer,05000395,NPF-12,"Jenkinsville, SC (26 MI NW of Columbia,  SC)",2,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Company,www.sceg.com,,PWR-DRYAMB,WEST 3LP,GIL,DANI,21/03/1973,12/11/1982,01/01/1984,23/04/2004,06/08/2042,2900,,85%,77%,96%,79%,81%,93%,86%,88%,100%,81%,87%,,88%,97%,87%,,37,
"Vogtle Electric Generating Plant, Unit 1",Vogtle 1,05000424,NPF-68,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 4LP,SBEC,GPC,28/06/1974,16/03/1987,01/06/1987,03/06/2009,16/01/2047,3625.6,,93%,93%,101%,91%,87%,101%,91%,92%,102%,91%,93%,,91%,100%,93%,,32,
"Vogtle Electric Generating Plant, Unit 2",Vogtle 2,05000425,NPF-81,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 4LP,SBEC,GPC,28/06/1974,31/03/1989,20/05/1989,03/06/2009,09/02/2049,3625.6,,100%,96%,94%,100%,92%,87%,102%,94%,93%,101%,88%,,85%,91%,97%,,30,
"Waterford Steam Electric Station, Unit 3",Waterford 3,05000382,NPF-38,"Killona, LA (25 MI W of New Orleans,  LA)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,COMB CE,EBSO,EBSO,14/11/1974,16/03/1985,24/09/1985,27/12/2018,18/12/2044,3716,,100%,80%,96%,80%,90%,89%,77%,82%,100%,87%,89%,,78%,101%,89%,,34,
"Watts Bar Nuclear Plant, Unit 1",Watts Bar 1,05000390,NPF-90,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,23/01/1973,07/02/1996,27/05/1996,N/A,09/11/2035,3459,,87%,77%,85%,76%,89%,90%,87%,84%,99%,94%,82%,,90%,100%,87%,,23,
"Watts Bar Nuclear Plant, Unit 2",Watts Bar 2,05000391,NPF-96,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,24/01/1973,22/10/2015,19/10/2016,N/A,22/10/2055,3411,,95%,45%,26%,0%,,,,,,,,,,,,,4,
"Wolf Creek Generating Station, Unit 1",Wolf Creek 1,05000482,NPF-42,"Burlington (Coffey County), KS (28 MI SE of Emporia, KS)",4,Wolf Creek Nuclear Operating Corp.,Wolf Creek Nuclear Operating Corporation,www.wcnoc.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,17/05/1977,04/06/1985,03/09/1985,20/11/2008,11/03/2045,3565,"The original OL (NPF-32) was issued on March 11, 1985. This license was superseded by OL( NPF-42) issued on June 4, 1985.",86%,96%,74%,78%,83%,65%,80%,72%,86%,86%,83%,,86%,99%,87%,,34,
