,sound.files,selec,duration,meanfreq,sd,freq.median,freq.Q25,freq.Q75,freq.IQR,time.median,time.Q25,time.Q75,time.IQR,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,class
32,Track71.wav,0,1,2.12931120722263,2.96594698604334,1.30447435431066,0.526191342306293,2.07875591124045,1.55256456893416,0.124971655328798,0.071412374473599,0.20233506100853,0.130922686534931,12.9942441317336,234.553028007073,0.77277264954722,0.858764508027748,0.663629724205718,0.074276042684978,0.614841672207447,0.04306640625,10.63740234375,10.5943359375,1.95121951219512,0.30146484375,10.63740234375,10.3359375,0.302482160433071,Banana
33,Track72.wav,0,1,1.75329276805052,2.4283336322402,1.20037629350894,0.532925682031985,1.73157729695829,1.19865161492631,0.1374988895902,0.089673188863174,0.215215653271618,0.125542464408444,12.6408636774318,229.393717379802,0.760009589424905,0.856267206175886,0.650771287803746,0.060547224453509,0.48603515625,0.04306640625,1.50732421875,1.4642578125,4.88235294117647,0.64599609375,0.04306640625,-0.6029296875,0.302482160433071,Banana
34,Track73.wav,0,1,1.65862392969255,2.6293892915021,1.07821341956346,0.442400970088925,1.56952303961196,1.12712206952304,0.113971277399849,0.053986394557823,0.18595313681028,0.131966742252457,13.5659850334985,271.683912792961,0.752165583868917,0.861592441293237,0.648060181662373,0.063283787070748,0.290230129076087,0.04306640625,0.64599609375,0.6029296875,3,0.30146484375,0.04306640625,-0.2583984375,0.302482160433071,Banana
35,Track74.wav,0,1,1.82169087074819,2.49802741135552,1.22188024622272,0.537073307218803,1.86052042529379,1.32344711807499,0.16098108968358,0.083471676132227,0.262339553558426,0.1788678774262,13.5237545046571,279.5101674229,0.779531457868623,0.856012645403786,0.66728878542559,0.066493344386793,0.525974961577869,0.04306640625,1.59345703125,1.550390625,10.7222222222222,0.64599609375,0.04306640625,-0.6029296875,0.302482160433071,Banana
36,Track75.wav,0,1,1.82246617212437,2.41184524640662,1.24028188224596,0.556376449192998,1.9029324846556,1.3465560354626,0.325879734609893,0.219228185101201,0.420681111950953,0.201452926849752,8.28447913245871,97.5573049429762,0.794985794376334,0.855647318613429,0.680227463293877,0.066641759929428,0.628500366210938,0.04306640625,1.59345703125,1.550390625,10.1666666666667,0.64599609375,0.04306640625,-0.6029296875,0.302482160433071,Banana
37,Track76.wav,0,1,1.62214963515627,2.14258884728703,1.20932120818448,0.526956804157194,1.72020136407925,1.19324455992205,0.178687219568679,0.071474887827471,0.279943310657596,0.208468422830125,8.26542854220475,100.782251833261,0.773937743663105,0.858277490098252,0.664253344123475,0.054730063357839,0.601583862304688,0.12919921875,1.50732421875,1.378125,12.125,0.47373046875,0.81826171875,0.34453125,0.302482160433071,Banana
38,Track77.wav,0,1,1.64642297664089,2.31105482379003,1.1002532228361,0.481123388581952,1.64341620626151,1.16229281767956,0.265260432531221,0.159156259518733,0.377259281822182,0.218103022303449,9.22014703139993,122.243608593876,0.783801791171324,0.855837265476194,0.670806781631409,0.053758571917078,0.469815340909091,0.04306640625,1.42119140625,1.378125,10.5,0.04306640625,0.21533203125,0.172265625,0.302482160433071,Banana
39,Track78.wav,0,1,1.5266052896077,1.91739871936044,1.15030756886868,0.488365873228136,1.69015779620219,1.20179192297406,0.248306418219462,0.141889381839692,0.348811397022577,0.206922015182885,9.04063180959264,122.177838082882,0.774602964136431,0.856198264886799,0.663213713869783,0.056755267380553,0.520834350585938,0.04306640625,1.42119140625,1.378125,10,0.04306640625,0.04306640625,0,0.302482160433071,Banana
40,Track79.wav,0,1,1.5949215398693,2.06833391549391,1.14561105722599,0.434772065955383,1.71241513094083,1.27764306498545,0.242089381684432,0.135806238505901,0.354277143928438,0.218470905422536,10.1765681321309,156.122759365269,0.779657922574043,0.855987787904287,0.667377660466207,0.057972997339544,0.448553185096154,0.12919921875,1.50732421875,1.378125,10,0.55986328125,0.21533203125,-0.34453125,0.302482160433071,Banana
41,Track80.wav,0,1,1.71399460885723,2.42117393431323,1.1990225051148,0.491361673107524,1.75039781768584,1.25903614457831,0.28440413202318,0.213303099017385,0.391055681531872,0.177752582514487,11.9633114475314,228.081140851548,0.782340907932824,0.85579566471878,0.669523957341065,0.066687162317702,0.433877973414179,0.04306640625,1.59345703125,1.550390625,6.22222222222222,0.04306640625,0.04306640625,0,0.302482160433071,Banana
42,Track81.wav,0,1,1.73058872075924,2.32288985830806,1.23189626136746,0.520545638262041,1.76355675311553,1.24301111485349,0.172051780419127,0.071193840173432,0.26697690065037,0.195783060476938,11.3181737534008,188.49017039495,0.773746366328372,0.858989510894109,0.664640012768502,0.054102901341208,0.52978515625,0.04306640625,1.59345703125,1.550390625,8.55555555555555,1.24892578125,0.04306640625,-1.205859375,0.302482160433071,Banana
43,Track82.wav,0,1,1.70349010842607,2.54493240723741,1.09068261086198,0.42887394120578,1.62506228201295,1.19618834080717,0.320438028870085,0.219559390151725,0.433184742731781,0.213625352580056,9.53658185497564,134.330335621779,0.784803613270345,0.856044696548177,0.671826970971925,0.074424507421358,0.420223721590909,0.04306640625,1.59345703125,1.550390625,7.38888888888889,0.12919921875,0.04306640625,-0.0861328125,0.302482160433071,Banana
44,Track83.wav,0,1,1.75871490006383,2.3200006989521,1.25142736307888,0.517551279340241,1.87714104461831,1.35958976527807,0.365157332339328,0.259143913273072,0.465281117013015,0.206137203739943,8.91001395853786,119.337638263866,0.790853748071524,0.856151713442084,0.67709079149353,0.061902707206912,0.504130284926471,0.12919921875,1.50732421875,1.378125,12.3125,0.55986328125,0.30146484375,-0.2583984375,0.302482160433071,Banana
45,Track84.wav,0,1,1.64850960282477,2.17037977296686,1.20353717026379,0.441846522781774,1.74320543565148,1.3013589128697,0.218609123303001,0.106350384309568,0.319051152928704,0.212700768619136,8.89297549927857,112.608364533828,0.783561912692276,0.856237845880281,0.670915364237467,0.05518401539128,0.720383522727273,0.04306640625,1.76572265625,1.72265625,8.9,0.55986328125,0.04306640625,-0.516796875,0.302482160433071,Banana
